epoch,train_loss,val_loss,val_acc,val_qwk,lr,epoch_time_s
1,2.580647,2.127138,0.178480,0.052999,0.00003000,495.75
2,2.164554,2.062422,0.162539,-0.022718,0.00012000,487.97
3,2.097931,2.092801,0.653572,0.484967,0.00021000,487.43
4,2.117480,2.079394,0.620552,0.339081,0.00030000,487.26
5,2.092328,2.057590,0.368061,0.370917,0.00028519,487.05
6,2.043508,2.002416,0.454028,0.228962,0.00024371,487.39
7,2.006464,2.014445,0.498719,0.298829,0.00018377,487.43
8,1.958173,1.992620,0.481355,0.469368,0.00011723,487.52
9,1.939966,1.944053,0.752918,0.592417,0.00005729,487.46
10,1.878759,1.926181,0.715058,0.638422,0.00001581,487.64
