epoch,train_loss,val_loss,val_acc,val_qwk,lr,epoch_time_s
1,5.016009,nan,0.253345,0.455702,0.00002000,513.94
2,0.740271,nan,0.674352,0.701900,0.00011000,492.34
3,0.611961,0.511322,0.639909,0.717533,0.00020000,491.89
4,0.525902,0.367852,0.747794,0.754653,0.00019513,491.72
5,0.485832,0.385015,0.707657,0.750295,0.00018100,490.34
6,0.445872,0.335132,0.800171,0.765079,0.00015898,493.65
7,0.402213,0.410920,0.795616,0.786351,0.00013125,486.48
8,0.361612,0.368034,0.688301,0.782045,0.00010050,490.63
9,0.333997,0.343077,0.766581,0.807745,0.00006975,486.68
10,0.311755,0.315836,0.720182,0.793444,0.00004202,489.65
11,0.275301,0.310045,0.748079,0.819051,0.00002000,495.56
12,0.259630,0.266132,0.788215,0.831571,0.00000587,487.00
