epoch,train_loss,val_loss,val_acc,val_qwk,lr,epoch_time_s
1,1.332982,1.066603,0.614290,0.648868,0.00004000,491.30
2,1.118457,0.914795,0.753772,0.728284,0.00022000,486.69
3,1.089011,1.055907,0.692286,0.621016,0.00040000,486.54
4,1.011473,1.173980,0.506974,0.591063,0.00038481,486.33
5,0.928393,1.053486,0.668090,0.624737,0.00034157,486.27
6,0.845121,0.944708,0.732138,0.706069,0.00027685,486.51
7,0.763101,0.991966,0.688301,0.691477,0.00020050,486.48
8,0.694909,1.004419,0.683177,0.659721,0.00012415,486.43
9,0.634029,0.888592,0.765158,0.735980,0.00005943,486.46
10,0.582530,0.909283,0.744663,0.733304,0.00001619,486.55
