epoch,train_loss,train_acc,train_f1,train_qwk,val_loss,val_acc,val_f1,val_qwk,val_default_qwk,lr_backbone,lr_head
1,0.673587773754594,0.686066373840898,0.613511693319305,0.03993881143652356,0.647700410059811,0.6132093376352249,0.6208150835760238,0.33513603730084973,0.02874704663636296,1e-05,5e-05
2,0.6270190545925769,0.7174231332357247,0.6350399104809257,0.1584465668207542,0.6106602324154825,0.6496488897323971,0.6477423940786937,0.41423838944304003,0.1942178355024501,1.5000000000000002e-05,7.500000000000001e-05
3,0.5916301859007903,0.7124206930209859,0.6574249498983865,0.3206212138319877,0.5791254736572181,0.585120516226988,0.6177901408723342,0.44686024479494346,0.36143288430931797,2e-05,0.0001
4,0.5106590074970797,0.72132747681796,0.7011065155307702,0.5695772854423695,0.48826238467743555,0.654393623078383,0.6756191542660762,0.6674352556233729,0.6202165256887909,1.9792402206971155e-05,9.891830623632339e-05
5,0.45887792189469934,0.7539043435822352,0.735487063465281,0.668134712311877,0.48480431827428244,0.6984247485291326,0.7037549067653714,0.6944511715908672,0.6400849008263924,1.917868184760471e-05,9.572050015330874e-05
6,0.4343954794737931,0.7691556857003417,0.7498762827906158,0.7037696634027859,0.4743045420557526,0.6866578098310875,0.6958424150985124,0.7013366508628096,0.6632193872322066,1.8185661446562e-05,9.05463412215599e-05
7,0.4090129786246925,0.7834716121685374,0.7672605607903098,0.7384244702817397,0.4760262557441674,0.6957676978553805,0.7078907423328678,0.7178832591613576,0.6638202147688812,1.6856740760409155e-05,8.362196501476348e-05
8,0.3902631648089685,0.7982755815845127,0.7825456689394451,0.7617519541824407,0.45058761796410113,0.7204403112545075,0.7258779896727323,0.7159619880006071,0.6886078617928699,1.5250000000000001e-05,7.525e-05
9,0.3725455028096001,0.8120221246136327,0.7974232378430746,0.7892273135758117,0.46128618057685006,0.6891250711710002,0.7001660551203115,0.7139033163616684,0.6866232619498238,1.3435661446562003e-05,6.57963412215599e-05
10,0.3524926433708487,0.823247112412559,0.8106597671615954,0.8083096859334499,0.4649691795585594,0.6891250711710002,0.7054625449856856,0.7142275792874064,0.683029251632798,1.149302040104271e-05,5.567415893174885e-05
11,0.33762077207713276,0.8356515373352855,0.8239891058060105,0.8307203366107878,0.4721558065121666,0.7160751565762005,0.7284266746906353,0.7218767387922194,0.6911624220305046,9.506979598957295e-06,4.532584106825116e-05
12,0.3200292607982391,0.8470798763624532,0.8359567694396168,0.8503937563863956,0.5187410226264609,0.7287910419434428,0.7248448116328071,0.7070990981816139,0.6751326391481285,7.564338553438001e-06,3.5203658778440106e-05
13,0.3056112243932535,0.8597283227590695,0.8491130444282632,0.8666480446357467,0.5056706718530617,0.7304991459479977,0.7333075871248389,0.7106873666654353,0.6858217872124063,5.7500000000000025e-06,2.5750000000000013e-05
14,0.29446483475562324,0.8667236050105742,0.8562591356971407,0.8778796562828427,0.5025969219854829,0.6988043271968115,0.7162743412331486,0.7076478411714335,0.6843165841785575,4.14325923959085e-06,1.7378034985236535e-05
15,0.28624179617251655,0.874857654140231,0.8652528702823885,0.8893469742852483,0.5065786024835898,0.7500474473334598,0.7425612181505664,0.7045140926575287,0.6790423381890822,2.8143385534380006e-06,1.0453658778440107e-05
16,0.27591272943995726,0.8833577354807223,0.8742180658086128,0.8999570420553556,0.514526330281037,0.7274625166065667,0.7302050388990802,0.7067731577997726,0.6775882650312341,1.8213181523952908e-06,5.279499846691251e-06
