epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.9706209739671483,0.5723131672597864,0.5706510533841455,1.1613708942526262,0.44264161685169373,0.504154561232868
2,0.6358456099669704,0.720035587188612,0.7187679223462355,0.7718647712660827,0.7426700825505266,0.7378233394110958
3,0.48919398613671816,0.7895729537366548,0.7892435430556642,0.8551609059056088,0.6949900370054085,0.707567805009106
4,0.4011648118665634,0.8346975088967972,0.8344403626986923,1.021481989999799,0.5775690293196698,0.6333109459706308
5,0.3245935085532504,0.8697153024911032,0.8694850818966762,0.9165250514261477,0.6732137773982352,0.6969196652985552
6,0.21256733478600445,0.9198932384341637,0.9196548489093219,0.9434677324775546,0.71733561058924,0.7209335223449389
7,0.16557585046808915,0.9361565836298933,0.936007861498677,0.9667384057448116,0.7244520352974666,0.7277167770083973
8,0.1362777955846006,0.9491103202846976,0.9490141128626909,1.059818445499419,0.7254483347566183,0.7283626105943147
9,0.09720596704618786,0.9660142348754448,0.9659414649095591,1.0346519006747585,0.762311414745232,0.7509830194263737
10,0.08159525303229742,0.9720284697508896,0.9719747674951761,1.1132699121547973,0.7715627668659265,0.7524152994892458
