epoch,train_loss,val_loss,val_acc,val_qwk,lr,epoch_time_s
1,1.658153,1.296639,0.191005,0.377366,0.00060000,491.04
2,1.308266,1.212975,0.691716,0.540437,0.00058534,485.52
3,1.250946,1.226685,0.707088,0.508782,0.00054280,485.40
4,1.203244,1.241494,0.603757,0.463721,0.00047654,485.45
5,1.165989,1.116324,0.393396,0.509436,0.00039305,485.46
6,1.113483,1.116345,0.561059,0.525581,0.00030050,485.77
7,1.069167,1.050753,0.608312,0.594021,0.00020795,485.79
8,1.035623,1.021752,0.540564,0.631084,0.00012446,485.92
9,1.011439,1.010367,0.739539,0.684500,0.00005820,485.99
10,0.987567,0.982163,0.679476,0.679248,0.00001566,486.08
