epoch,train_loss,val_loss,val_acc,val_qwk,lr,epoch_time_s
1,1.497938,nan,0.726445,0.638157,0.00004000,491.51
2,1.216108,nan,0.653572,0.604392,0.00022000,487.05
3,1.243221,1.225306,0.472815,0.440044,0.00040000,486.58
4,1.150783,1.124679,0.699402,0.568025,0.00038481,486.52
5,1.103491,1.058627,0.431540,0.532137,0.00034157,486.37
6,1.043346,1.026147,0.764589,0.638240,0.00027685,486.58
7,1.017459,0.933913,0.756049,0.676552,0.00020050,486.69
8,0.953383,0.947472,0.799886,0.736761,0.00012415,486.67
9,0.897782,0.915193,0.789069,0.753234,0.00005943,486.82
10,0.857240,0.901236,0.774836,0.751083,0.00001619,486.85
