epoch,train_loss,val_loss,val_acc,val_qwk,lr,epoch_time_s
1,6.361195,0.482336,0.635070,0.637110,0.00002000,555.60
2,0.541118,0.379938,0.779391,0.730129,0.00011000,509.97
3,0.477037,0.395014,0.768574,0.700829,0.00020000,505.08
4,0.426267,0.369589,0.771136,0.744928,0.00019513,505.03
5,0.382298,0.362983,0.761742,0.759468,0.00018100,508.81
6,0.355188,0.332276,0.799886,0.756744,0.00015898,508.01
7,0.325481,0.301397,0.778537,0.807249,0.00013125,506.97
8,0.298917,0.298019,0.800740,0.804849,0.00010050,508.30
9,0.267970,0.304550,0.824367,0.817689,0.00006975,508.54
10,0.253722,0.274321,0.802448,0.820760,0.00004202,497.62
11,0.232337,0.263252,0.828067,0.823454,0.00002000,495.56
12,0.219829,0.257517,0.829206,0.829042,0.00000587,499.28
