epoch,train_loss,val_loss,val_acc,val_qwk,lr,epoch_time_s
1,5.207932,nan,0.520353,0.649762,0.00005000,494.33
2,0.653872,nan,0.621691,0.669608,0.00020000,487.01
3,0.563344,nan,0.588671,0.710749,0.00019615,486.70
4,0.505480,0.400420,0.725021,0.759198,0.00018492,488.05
5,0.452392,nan,0.580985,0.691680,0.00016721,490.24
6,0.428529,0.337755,0.752064,0.774791,0.00014446,486.56
7,0.387537,0.423654,0.632792,0.733687,0.00011852,491.43
8,0.358895,0.383245,0.634216,0.730114,0.00009148,494.07
9,0.329092,0.303309,0.812980,0.816538,0.00006554,487.13
10,0.305673,nan,0.796470,0.818960,0.00004279,486.75
11,0.277514,0.280307,0.801879,0.826172,0.00002508,486.88
12,0.257984,0.295054,0.773413,0.815556,0.00001385,487.78
