Metric,DeiT WITHOUT Distillation,DeiT WITH Distillation
Tuned Test QWK,0.6588,0.6888
Tuned Test Macro F1,0.4008,0.4297
Tuned Test Accuracy,0.6974,0.7175
Tuned Test Balanced Accuracy,0.4504,0.4693
