Metric,DeiT WITHOUT Distillation,DeiT WITH Distillation
Accuracy,0.7765,0.7857
Balanced Accuracy,0.45,0.4174
Macro Precision,0.5546,0.5783
Macro Recall,0.45,0.4174
Macro F1,0.4817,0.4616
Weighted F1,0.7429,0.7426
QWK,0.6148,0.606
MCC,0.4064,0.4152
ROC-AUC OvR,0.7993,0.8251
mAP,0.5028,0.5038
