epoch,train_loss,val_loss,val_acc,val_qwk,lr,epoch_time_s
1,2.421519,nan,0.372616,0.322561,0.00004000,493.14
2,2.188126,2.073673,0.626530,0.314054,0.00022000,488.34
3,2.183429,2.167582,0.266439,0.051404,0.00040000,487.84
4,2.138229,2.110974,0.241674,0.180766,0.00038481,487.70
5,2.100595,2.038016,0.648449,0.589077,0.00034157,487.69
6,2.053809,2.031702,0.579562,0.426555,0.00027685,488.08
7,2.022847,2.014377,0.568745,0.544947,0.00020050,487.96
8,1.977510,1.988025,0.656704,0.634850,0.00012415,488.07
9,1.955250,1.967276,0.675491,0.600694,0.00005943,488.26
10,1.919299,1.965199,0.642471,0.582903,0.00001619,488.06
